model,version,table,field,type,length,precision,scale,default
pcornet,v1,vital,bp_position,string,2,,,
pcornet,v1,vital,diastolic,number,,4,,
pcornet,v1,vital,encounterid,string,,,,
pcornet,v1,vital,ht,number,,8,,
pcornet,v1,vital,measure_date,string,10,,,
pcornet,v1,vital,measure_time,string,5,,,
pcornet,v1,vital,original_bmi,number,,8,,
pcornet,v1,vital,patid,string,,,,
pcornet,v1,vital,raw_bp_position,string,,,,
pcornet,v1,vital,raw_diastolic,string,,,,
pcornet,v1,vital,raw_systolic,string,,,,
pcornet,v1,vital,raw_vital_source,string,,,,
pcornet,v1,vital,systolic,number,,4,,
pcornet,v1,vital,vital_source,string,2,,,
pcornet,v1,vital,wt,number,,8,,
