model,version,table,description
pedsnet,v2,care_site,Information about the site of care 
pedsnet,v2,condition_occurrence,A diagnosis or condition that has been recorded about a person at a certain time 
pedsnet,v2,death,Time and cause of death of the Person 
pedsnet,v2,drug_exposure,The drug exposure domain captures any biochemical substance that is introduced in any way to a patient.
pedsnet,v2,fact_relationship,"The fact relationship domain contains details of the relationships between facts within one domain or across two domains, and the nature of the relationship."
pedsnet,v2,location,"Physical addresses of patients, organizations and care sites "
pedsnet,v2,measurement,The measurement domain captures measurement orders and measurement results. The measurement domain can contain laboratory results and vital signs.
pedsnet,v2,observation,"Observations are clinical facts, such as laboratory tests, signs/symptoms, which are not captured within other CDM tables"
pedsnet,v2,observation_period,"Time intervals during which health care information, such as drugs, conditions, and other clinical observations, may be available "
pedsnet,v2,person,Demographic information about a Person 
pedsnet,v2,procedure_occurrence,Procedures carried out on the Person
pedsnet,v2,provider,Information about health care providers 
pedsnet,v2,visit_occurrence,Visits for health care services of the Person
pedsnet,v2,visit_payer,The visit payer table documents insurance information as it relates to a visit in visit_occurrence. For this reason the key of this table will be visit_occurrence_id and visit_payer_id.
