model,version,table,field,type,length,precision,scale,default
pcornet,v2,procedure,admit_date,string,10,,,
pcornet,v2,procedure,enc_type,string,2,,,
pcornet,v2,procedure,encounterid,string,,,,
pcornet,v2,procedure,patid,string,,,,
pcornet,v2,procedure,providerid,string,,,,
pcornet,v2,procedure,px,string,11,,,
pcornet,v2,procedure,px_date,string,10,,,
pcornet,v2,procedure,px_source,string,,,,
pcornet,v2,procedure,px_type,string,2,,,
pcornet,v2,procedure,raw_px,string,,,,
pcornet,v2,procedure,raw_px_type,string,,,,
