model,version,table,description,
pcornet,v3,CONDITION,A condition represents a patient’s diagnosed and self-reported health conditions and diseases. The patient’s medical history and current state may both be represented.,
pcornet,v3,DEATH,Reported mortality information for patients.,
pcornet,v3,DEATH_CAUSE,The individual causes associated with a reported death.,
pcornet,v3,DEMOGRAPHIC,Demographics record the direct attributes of individual patients.,
pcornet,v3,DIAGNOSIS,Diagnosis codes indicate the results of diagnostic processes and medical coding within healthcare delivery.,
pcornet,v3,DISPENSING,"Outpatient pharmacy dispensing, such as prescriptions filled through a neighborhood pharmacy with a claim paid by an insurer. Outpatient dispensing is not commonly captured within healthcare systems.",
pcornet,v3,ENCOUNTER,Encounters are interactions between patients and providers within the context of healthcare delivery.,
pcornet,v3,ENROLLMENT,"Enrollment is a concept that defines a period of time during which all medically-attended events are expected to be observed. This concept is often insurance-based, but other methods of defining enrollment are possible.",
pcornet,v3,HARVEST,Attributes associated with the specific PCORnet datamart implementation.,
pcornet,v3,LAB_RESULT_CM,Laboratory result Common Measures (CM) use specific types of quantitative and qualitative measurements from blood and other body specimens. These standardized measures are defined in the same way across all PCORnet networks.,
pcornet,v3,PCORNET_TRIAL,Patients who are enrolled in PCORnet clinical trials.,
pcornet,v3,PRESCRIBING,Provider orders for medication dispensing and/or administration.,
pcornet,v3,PRO_CM,"Patient-reported outcome Common Measures are standardized measures that are defined in the same way across all PCORnet networks. Each measure is recorded at the individual item level: an individual question/statement, paired with its standardized response options.",
pcornet,v3,PROCEDURES,"Procedure codes indicate the discreet medical interventions and diagnostic testing, such as surgical procedures, administered within healthcare delivery.",
pcornet,v3,VITAL,"Vital signs (such as height, weight, and blood pressure) directly measure an individual’s current state of attributes.",
