model,version,type,name,table,field
pedsnet,v1,not null,,concept,concept_class_id
pedsnet,v1,not null,,concept,concept_code
pedsnet,v1,not null,,concept,concept_name
pedsnet,v1,not null,,concept,domain_id
pedsnet,v1,not null,,concept,valid_end_date
pedsnet,v1,not null,,concept,valid_start_date
pedsnet,v1,not null,,concept,vocabulary_id
pedsnet,v1,not null,,condition_occurrence,condition_concept_id
pedsnet,v1,not null,,condition_occurrence,condition_start_date
pedsnet,v1,not null,,condition_occurrence,condition_type_concept_id
pedsnet,v1,not null,,condition_occurrence,person_id
pedsnet,v1,not null,,death,death_date
pedsnet,v1,not null,,observation,observation_concept_id
pedsnet,v1,not null,,observation,observation_date
pedsnet,v1,not null,,observation,observation_type_concept_id
pedsnet,v1,not null,,observation,person_id
pedsnet,v1,not null,,observation_period,observation_period_end_date
pedsnet,v1,not null,,observation_period,observation_period_start_date
pedsnet,v1,not null,,observation_period,period_type_concept_id
pedsnet,v1,not null,,observation_period,person_id
pedsnet,v1,not null,,person,ethnicity_concept_id
pedsnet,v1,not null,,person,gender_concept_id
pedsnet,v1,not null,,person,race_concept_id
pedsnet,v1,not null,,person,year_of_birth
pedsnet,v1,not null,,procedure_occurrence,person_id
pedsnet,v1,not null,,procedure_occurrence,procedure_concept_id
pedsnet,v1,not null,,procedure_occurrence,procedure_date
pedsnet,v1,not null,,procedure_occurrence,procedure_type_concept_id
pedsnet,v1,not null,,visit_occurrence,person_id
pedsnet,v1,not null,,visit_occurrence,visit_concept_id
pedsnet,v1,not null,,visit_occurrence,visit_end_date
pedsnet,v1,not null,,visit_occurrence,visit_start_date
pedsnet,v1,not null,,visit_occurrence,visit_type_concept_id
pedsnet,v1,not null,,vocabulary,vocabulary_concept_id
pedsnet,v1,not null,,vocabulary,vocabulary_name
