Table,Field,Required,Ref Table,Ref Field,Type
concept_dimension,concept_path,Yes,,,text(700)
concept_dimension,concept_cd,No,,,text(50)
concept_dimension,name_char,No,,,text(2000)
concept_dimension,concept_blob,No,,,text(x)
concept_dimension,update_date,No,,,timestamp
concept_dimension,download_date,No,,,timestamp
concept_dimension,import_date,No,,,timestamp
concept_dimension,sourcesystem_cd,No,,,text(50)
concept_dimension,upload_id,No,,,number(38)
provider_dimension,provider_path,Yes,,,text(700)
provider_dimension,provider_id,Yes,,,text(50)
provider_dimension,name_char,No,,,text(850)
provider_dimension,provider_blob,No,,,text(x)
provider_dimension,update_date,No,,,timestamp
provider_dimension,download_date,No,,,timestamp
provider_dimension,import_date,No,,,timestamp
provider_dimension,sourcesystem_cd,No,,,text(50)
provider_dimension,upload_id,No,,,number(38)
patient_dimension,patient_num,Yes,,,number(38)
patient_dimension,vital_status_cd,No,,,text(50)
patient_dimension,birth_date,No,,,timestamp
patient_dimension,death_date,No,,,timestamp
patient_dimension,sex_cd,No,,,text(50)
patient_dimension,age_in_years_num,No,,,number(38)
patient_dimension,language_cd,No,,,text(50)
patient_dimension,race_cd,No,,,text(50)
patient_dimension,marital_status_cd,No,,,text(50)
patient_dimension,religion_cd,No,,,text(50)
patient_dimension,zip_cd,No,,,text(50)
patient_dimension,statecityzip_path,No,,,text(700)
patient_dimension,income_cd,No,,,text(50)
patient_dimension,patient_blob,No,,,text(x)
patient_dimension,update_date,No,,,timestamp
patient_dimension,download_date,No,,,timestamp
patient_dimension,import_date,No,,,timestamp
patient_dimension,sourcesystem_cd,No,,,text(50)
patient_dimension,upload_id,No,,,number(38)
patient_dimension,ethnicity_cd,No,,,text(200)
visit_dimension,encounter_num,Yes,,,number(38)
visit_dimension,patient_num,Yes,patient_dimension,patient_num,number(38)
visit_dimension,active_status_cd,No,,,text(50)
visit_dimension,start_date,No,,,timestamp
visit_dimension,end_date,No,,,timestamp
visit_dimension,inout_cd,No,,,text(50)
visit_dimension,location_cd,No,,,text(50)
visit_dimension,location_path,No,,,text(900)
visit_dimension,length_of_stay,No,,,number(38)
visit_dimension,visit_blob,No,,,text(x)
visit_dimension,update_date,No,,,timestamp
visit_dimension,download_date,No,,,timestamp
visit_dimension,import_date,No,,,timestamp
visit_dimension,sourcesystem_cd,No,,,text(50)
visit_dimension,upload_id,No,,,number(38)
observation_fact,encounter_num,Yes,visit_dimension,encounter_num,number(38)
observation_fact,patient_num,Yes,patient_dimension,patient_num,number(38)
observation_fact,concept_cd,Yes,concept_dimension,concept_cd,text(50)
observation_fact,provider_id,Yes,provider_dimension,provider_id,text(50)
observation_fact,start_date,Yes,,,timestamp
observation_fact,modifier_cd,Yes,,,text(100)
observation_fact,instance_num,Yes,,,number(18)
observation_fact,valtype_cd,No,,,text(50)
observation_fact,tval_char,No,,,text(255)
observation_fact,nval_num,No,,,"number(18,5)"
observation_fact,valueflag_cd,No,,,text(50)
observation_fact,quantity_num,No,,,"number(18,5)"
observation_fact,units_cd,No,,,text(50)
observation_fact,end_date,No,,,timestamp
observation_fact,location_cd,No,,,text(50)
observation_fact,observation_blob,No,,,text(x)
observation_fact,confidence_num,No,,,"number(18,5)"
observation_fact,update_date,No,,,timestamp
observation_fact,download_date,No,,,timestamp
observation_fact,import_date,No,,,timestamp
observation_fact,sourcesystem_cd,No,,,text(50)
observation_fact,upload_id,No,,,number(38)
