model,version,table,field,ref_table,ref_field,name
omop,v4,care_site,location_id,location,location_id,fpk_care_site_location
omop,v4,care_site,place_of_service_concept_id,concept,concept_id,fpk_care_site_place
omop,v4,concept,vocabulary_id,vocabulary,vocabulary_id,fpk_concept_vocabulary
omop,v4,concept_ancestor,ancestor_concept_id,concept,concept_id,fpk_concept_ancestor_concept_1
omop,v4,concept_ancestor,descendant_concept_id,concept,concept_id,fpk_concept_ancestor_concept_2
omop,v4,concept_relationship,concept_id_1,concept,concept_id,fpk_concept_relationship_c_1
omop,v4,concept_relationship,concept_id_2,concept,concept_id,fpk_concept_relationship_c_2
omop,v4,concept_relationship,relationship_id,relationship,relationship_id,fpk_concept_relationship_id
omop,v4,concept_synonym,concept_id,concept,concept_id,fpk_concept_synonym_concept
omop,v4,condition_era,condition_concept_id,concept,concept_id,fpk_condition_era_concept
omop,v4,condition_era,person_id,person,person_id,fpk_condition_era_person
omop,v4,condition_occurrence,condition_concept_id,concept,concept_id,fpk_condition_concept
omop,v4,condition_occurrence,condition_type_concept_id,concept,concept_id,fpk_condition_type_concept
omop,v4,condition_occurrence,person_id,person,person_id,fpk_condition_person
omop,v4,condition_occurrence,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_condition_visit
omop,v4,death,death_type_concept_id,concept,concept_id,fpk_death_type_concept
omop,v4,death,person_id,person,person_id,fpk_death_person
omop,v4,drug_cost,drug_exposure_id,drug_exposure,drug_exposure_id,fpk_drug_cost_id
omop,v4,drug_cost,payer_plan_period_id,payer_plan_period,payer_plan_period_id,fpk_drug_cost_period
omop,v4,drug_era,drug_concept_id,concept,concept_id,fpk_drug_era_concept
omop,v4,drug_era,person_id,person,person_id,fpk_drug_era_person
omop,v4,drug_exposure,drug_concept_id,concept,concept_id,fpk_drug_concept
omop,v4,drug_exposure,drug_type_concept_id,concept,concept_id,fpk_drug_type_concept
omop,v4,drug_exposure,person_id,person,person_id,fpk_drug_person
omop,v4,drug_exposure,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_drug_visit
omop,v4,observation,observation_concept_id,concept,concept_id,fpk_observation_concept
omop,v4,observation,observation_type_concept_id,concept,concept_id,fpk_observation_type_concept
omop,v4,observation,person_id,person,person_id,fpk_observation_person
omop,v4,observation,unit_concept_id,concept,concept_id,fpk_observation_unit
omop,v4,observation,value_as_concept_id,concept,concept_id,fpk_observation_value
omop,v4,observation,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_observation_visit
omop,v4,observation_period,person_id,person,person_id,fpk_observation_period_person
omop,v4,payer_plan_period,person_id,person,person_id,fpk_payer_plan_period
omop,v4,person,care_site_id,care_site,care_site_id,fpk_person_care_site
omop,v4,person,ethnicity_concept_id,concept,concept_id,fpk_person_ethnicity_concept
omop,v4,person,gender_concept_id,concept,concept_id,fpk_person_gender_concept
omop,v4,person,location_id,location,location_id,fpk_person_location
omop,v4,person,provider_id,provider,provider_id,fpk_person_provider
omop,v4,person,race_concept_id,concept,concept_id,fpk_person_race_concept
omop,v4,procedure_cost,payer_plan_period_id,payer_plan_period,payer_plan_period_id,fpk_procedure_cost_period
omop,v4,procedure_cost,procedure_occurrence_id,procedure_occurrence,procedure_occurrence_id,fpk_procedure_cost_id
omop,v4,procedure_cost,revenue_code_concept_id,concept,concept_id,fpk_procedure_cost_revenue
omop,v4,procedure_occurrence,person_id,person,person_id,fpk_procedure_person
omop,v4,procedure_occurrence,procedure_concept_id,concept,concept_id,fpk_procedure_concept
omop,v4,procedure_occurrence,procedure_type_concept_id,concept,concept_id,fpk_procedure_type_concept
omop,v4,procedure_occurrence,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_procedure_visit
omop,v4,provider,care_site_id,care_site,care_site_id,fpk_provider_care_site
omop,v4,provider,specialty_concept_id,concept,concept_id,fpk_provider_specialty
omop,v4,source_to_concept_map,source_vocabulary_id,vocabulary,vocabulary_id,fpk_source_to_concept_map_v_1
omop,v4,source_to_concept_map,target_concept_id,concept,concept_id,fpk_source_to_concept_map_c_1
omop,v4,source_to_concept_map,target_vocabulary_id,vocabulary,vocabulary_id,fpk_source_to_concept_map_v_2
omop,v4,visit_occurrence,care_site_id,care_site,care_site_id,fpk_visit_care_site
omop,v4,visit_occurrence,person_id,person,person_id,fpk_visit_person
