model,version,name,unique,table,field,order
omop,v4,idx_cohort_c_definition_id,No,cohort,cohort_definition_id,asc
omop,v4,idx_cohort_subject_id,No,cohort,subject_id,asc
omop,v4,idx_concept_class_id,No,concept,concept_class_id,asc
omop,v4,idx_concept_code,No,concept,concept_code,asc
omop,v4,idx_concept_concept_id,Yes,concept,concept_id,asc
omop,v4,idx_concept_domain_id,No,concept,domain_id,asc
omop,v4,idx_concept_vocabluary_id,No,concept,vocabulary_id,asc
omop,v4,idx_concept_ancestor_id_1,No,concept_ancestor,ancestor_concept_id,asc
omop,v4,idx_concept_ancestor_id_2,No,concept_ancestor,descendant_concept_id,asc
omop,v4,idx_concept_relationship_id_1,No,concept_relationship,concept_id_1,asc
omop,v4,idx_concept_relationship_id_2,No,concept_relationship,concept_id_2,asc
omop,v4,idx_concept_relationship_id_3,No,concept_relationship,relationship_id,asc
omop,v4,idx_concept_synonym_id,No,concept_synonym,concept_id,asc
omop,v4,idx_condition_era_concept_id,No,condition_era,condition_concept_id,asc
omop,v4,idx_condition_era_person_id,No,condition_era,person_id,asc
omop,v4,idx_condition_concept_id,No,condition_occurrence,condition_concept_id,asc
omop,v4,idx_condition_person_id,No,condition_occurrence,person_id,asc
omop,v4,idx_condition_visit_id,No,condition_occurrence,visit_occurrence_id,asc
omop,v4,idx_death_person_id,No,death,person_id,asc
omop,v4,idx_drug_era_concept_id,No,drug_era,drug_concept_id,asc
omop,v4,idx_drug_era_person_id,No,drug_era,person_id,asc
omop,v4,idx_drug_concept_id,No,drug_exposure,drug_concept_id,asc
omop,v4,idx_drug_person_id,No,drug_exposure,person_id,asc
omop,v4,idx_drug_visit_id,No,drug_exposure,visit_occurrence_id,asc
omop,v4,idx_observation_concept_id,No,observation,observation_concept_id,asc
omop,v4,idx_observation_person_id,No,observation,person_id,asc
omop,v4,idx_observation_visit_id,No,observation,visit_occurrence_id,asc
omop,v4,idx_observation_period_id,No,observation_period,person_id,asc
omop,v4,idx_period_person_id,No,payer_plan_period,person_id,asc
omop,v4,idx_person_id,Yes,person,person_id,asc
omop,v4,idx_procedure_person_id,No,procedure_occurrence,person_id,asc
omop,v4,idx_procedure_concept_id,No,procedure_occurrence,procedure_concept_id,asc
omop,v4,idx_procedure_visit_id,No,procedure_occurrence,visit_occurrence_id,asc
omop,v4,idx_relationship_rel_id,Yes,relationship,relationship_id,asc
omop,v4,idx_source_to_concept_map_code,No,source_to_concept_map,source_code,asc
omop,v4,idx_source_to_concept_map_id_1,No,source_to_concept_map,source_vocabulary_id,asc
omop,v4,idx_source_to_concept_map_id_3,No,source_to_concept_map,target_concept_id,asc
omop,v4,idx_source_to_concept_map_id_2,No,source_to_concept_map,target_vocabulary_id,asc
omop,v4,idx_visit_person_id,No,visit_occurrence,person_id,asc
omop,v4,idx_visit_concept_id,No,visit_occurrence,visit_concept_id,asc
omop,v4,idx_vocabulary_vocabulary_id,Yes,vocabulary,vocabulary_id,asc
